# hypho_all_vs_nt_1e-10.megablast.blobtools.BlobDB.json.span.species.p15.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
Nasonia vitripennis	None	1	100.0%	143,693	100.0%	143,693	0.49	0.0	579.3	0.0	852,400	0.2%
uncultured eukaryote	None	28	100.0%	3,589	100.0%	126	0.51	0.07	10242.3	10130.5	484,334	0.1%
Microtus ochrogaster	None	2	100.0%	76,025	100.0%	41,851	0.5	0.0007	575.7	6.1	454,374	0.1%
Hordeum vulgare	None	4	100.0%	109,476	100.0%	63,745	0.52	0.043	380.7	248.1	690,032	0.2%
Guillardia theta	None	1	100.0%	138,775	100.0%	138,775	0.49	0.0	587.2	0.0	836,814	0.2%
Pirsonia formosa	None	12	100.0%	1,325	100.0%	108	0.5	0.056	12132.5	6325.7	181,490	0.0%
Tribolium castaneum	None	1	100.0%	73,182	100.0%	73,182	0.5	0.0	603.9	0.0	454,517	0.1%
Symplocos cochinchinensis	None	1	100.0%	75,455	100.0%	75,455	0.51	0.0	602.0	0.0	469,353	0.1%
Ochotona princeps	None	1	100.0%	120,027	100.0%	120,027	0.5	0.0	627.0	0.0	770,349	0.2%
Sterkiella histriomuscorum	None	3	100.0%	75,286	100.0%	53,692	0.49	0.0068	365.8	185.6	378,230	0.1%
Nematostella vectensis	None	5	100.0%	62,971	100.0%	47,787	0.46	0.035	9211.8	11395.4	442,410	0.1%
Thielavia terrestris	None	2	100.0%	289	100.0%	186	0.57	0.0013	271.7	86.3	1,002	0.0%
Xiphophorus maculatus	None	1	100.0%	94,631	100.0%	94,631	0.49	0.0	587.1	0.0	572,177	0.1%
Magnaporthe oryzae	None	1	100.0%	33,000	100.0%	33,000	0.5	0.0	641.6	0.0	221,462	0.1%
Dendroctonus ponderosae	None	1	100.0%	199	100.0%	199	0.45	0.0	193.9	0.0	398	0.0%
Aphanomyces euteiches	None	3	100.0%	154,858	100.0%	97,012	0.5	0.0065	594.2	19.0	951,026	0.2%
Physcomitrella patens	None	3	100.0%	212,692	100.0%	103,304	0.49	0.013	615.9	29.2	1,348,256	0.3%
Pythium ultimum	None	6	100.0%	1,372	100.0%	283	0.44	0.037	18621.6	7560.4	363,580	0.1%
Phytophthora cryptogea	None	1	100.0%	77,732	100.0%	77,732	0.49	0.0	576.4	0.0	459,904	0.1%
uncultured dinoflagellate	None	2	100.0%	121,141	100.0%	121,024	0.49	0.0045	394.7	220.9	770,028	0.2%
Candidatus Solibacter usitatus	None	1	100.0%	87,429	100.0%	87,429	0.49	0.0	713.5	0.0	654,883	0.2%
Blastocystis sp. subtype 3	None	2	100.0%	4,107	100.0%	3,136	0.34	0.013	19216.7	1088.6	798,909	0.2%
Coccomyxa subellipsoidea	None	3	100.0%	24,999	100.0%	20,877	0.5	0.023	399.3	143.3	142,104	0.0%
Pinus taeda	None	3	100.0%	317	100.0%	106	0.49	0.024	14812.4	13523.3	61,820	0.0%
Chlorella variabilis	None	2	100.0%	17,662	100.0%	9,623	0.49	0.0065	518.9	23.3	95,340	0.0%
Metaseiulus occidentalis	None	1	100.0%	5,034	100.0%	5,034	0.5	0.0	647.4	0.0	33,714	0.0%
Aspergillus oryzae	None	3	100.0%	247,462	100.0%	147,397	0.5	0.0064	598.0	21.9	1,537,710	0.4%
Zonotrichia albicollis	None	1	100.0%	5,192	100.0%	5,192	0.48	0.0	540.1	0.0	29,692	0.0%
Arabidopsis lyrata	None	1	100.0%	119	100.0%	119	0.55	0.0	21980.9	0.0	30,052	0.0%
Schistosoma mansoni	None	2	100.0%	165,087	100.0%	146,090	0.48	0.0041	560.8	22.5	984,408	0.2%
Volvox carteri	None	2	100.0%	45,632	100.0%	45,527	0.55	0.051	16145.8	15560.0	315,517	0.1%
Hyphochytrium catenoides	None	45	100.0%	13,986	100.0%	8,990	0.52	0.054	12413.8	10811.2	836,889	0.2%
Mus musculus	None	1	100.0%	34,468	100.0%	34,468	0.5	0.0	495.8	0.0	176,568	0.0%
Phyllostachys edulis	None	2	100.0%	37,951	100.0%	24,310	0.48	0.0005	529.2	33.1	216,593	0.1%
Sorex araneus	None	1	100.0%	1,599	100.0%	1,599	0.47	0.0	594.3	0.0	9,984	0.0%
Vigna radiata	None	1	100.0%	112	100.0%	112	0.46	0.0	19002.6	0.0	31,646	0.0%
Phytophthora plurivora	None	1	100.0%	57,970	100.0%	57,970	0.49	0.0	558.5	0.0	334,057	0.1%
Crinoidea sp. MR-2009	None	2	100.0%	224	100.0%	112	0.55	0.0045	439.7	36.9	1,466	0.0%
Yarrowia lipolytica	None	3	100.0%	119,774	100.0%	43,934	0.49	0.015	472.6	82.3	593,941	0.1%
Selaginella moellendorffii	None	2	100.0%	138,104	100.0%	118,401	0.49	0.00045	574.8	14.0	830,986	0.2%
Xylocheles macrops	None	1	100.0%	272	100.0%	272	0.56	0.0	1156.1	0.0	3,756	0.0%
Takifugu rubripes	None	1	100.0%	104	100.0%	104	0.51	0.0	1007.9	0.0	1,569	0.0%
Aplysia californica	None	2	100.0%	6,506	100.0%	6,406	0.5	0.016	12376.6	11959.3	61,152	0.0%
uncultured marine stramenopile	None	6	100.0%	808	100.0%	137	0.48	0.012	21680.2	9532.6	199,794	0.0%
Cryptococcus neoformans	None	2	100.0%	206	100.0%	104	0.51	0.068	11134.1	11094.4	26,926	0.0%
Sus scrofa	None	3	100.0%	105,269	100.0%	105,009	0.51	0.018	547.2	29.3	631,416	0.2%
Lachancea thermotolerans	None	1	100.0%	52,423	100.0%	52,423	0.5	0.0	503.5	0.0	270,547	0.1%
Alligator sinensis	None	1	100.0%	20,824	100.0%	20,824	0.49	0.0	602.2	0.0	127,933	0.0%
Melopsittacus undulatus	None	1	100.0%	46,999	100.0%	46,999	0.5	0.0	626.3	0.0	304,174	0.1%
Aedes aegypti	None	3	100.0%	70,177	100.0%	38,771	0.51	0.0052	628.1	23.6	446,616	0.1%
Ictidomys tridecemlineatus	None	1	100.0%	53,086	100.0%	53,086	0.5	0.0	619.2	0.0	337,741	0.1%
Gasterosteus aculeatus	None	1	100.0%	67,426	100.0%	67,426	0.5	0.0	622.0	0.0	433,297	0.1%
Mallomonas pseudocratis	None	2	100.0%	204	100.0%	104	0.48	0.02	18560.0	6274.3	49,273	0.0%
Cenchrus americanus	None	1	100.0%	21,518	100.0%	21,518	0.5	0.0	553.8	0.0	123,938	0.0%
Acanthamoeba castellanii	None	3	100.0%	75,621	100.0%	41,892	0.5	0.01	495.3	128.3	442,837	0.1%
Platynereis dumerilii	None	1	100.0%	207,875	100.0%	207,875	0.49	0.0	600.2	0.0	1,277,960	0.3%
Heterosigma akashiwo	None	2	100.0%	207	100.0%	105	0.48	0.041	5619.5	4621.4	13,167	0.0%
Bos taurus	None	1	100.0%	11,426	100.0%	11,426	0.49	0.0	596.0	0.0	70,404	0.0%
Gallus gallus	None	1	100.0%	22,730	100.0%	22,730	0.52	0.0	752.4	0.0	174,793	0.0%
Rattus norvegicus	None	1	100.0%	11,702	100.0%	11,702	0.5	0.0	640.1	0.0	77,272	0.0%
Streptomyces albus	None	1	100.0%	11,315	100.0%	11,315	0.49	0.0	547.0	0.0	63,743	0.0%
Zygosaccharomyces rouxii	None	1	100.0%	6,771	100.0%	6,771	0.5	0.0	442.0	0.0	30,868	0.0%
Capra hircus	None	2	100.0%	67,147	100.0%	47,458	0.5	0.008	584.8	8.3	408,470	0.1%
uncultured organism	None	1	100.0%	107	100.0%	107	0.45	0.0	25478.4	0.0	32,871	0.0%
Ricinus communis	None	1	100.0%	132,204	100.0%	132,204	0.5	0.0	641.4	0.0	869,425	0.2%
Thraustotheca clavata	None	1	100.0%	389	100.0%	389	0.39	0.0	26150.0	0.0	116,187	0.0%
Zea mays	None	6	100.0%	244,033	100.0%	126,973	0.51	0.025	476.6	174.5	1,690,275	0.4%
Pristionchus sp. 11 RS5228	None	1	100.0%	75,183	100.0%	75,183	0.49	0.0	551.0	0.0	424,387	0.1%
Tupaia chinensis	None	2	100.0%	223,418	100.0%	188,764	0.49	0.0015	590.2	1.5	1,348,890	0.3%
Lepidochitona cinerea	None	1	100.0%	77,697	100.0%	77,697	0.49	0.0	471.0	0.0	391,899	0.1%
Populus trichocarpa	None	2	100.0%	69,961	100.0%	40,541	0.5	0.013	582.6	17.8	416,624	0.1%
Drosophila sechellia	None	2	100.0%	79,262	100.0%	45,434	0.5	0.00075	567.6	8.6	465,014	0.1%
Owenweeksia hongkongensis	None	1	100.0%	167,435	100.0%	167,435	0.49	0.0	708.8	0.0	1,212,859	0.3%
Tetrahymena thermophila	None	4	100.0%	182,462	100.0%	162,870	0.49	0.011	523.8	129.7	1,114,794	0.3%
Medicago truncatula	None	2	100.0%	228	100.0%	121	0.53	0.024	94.5	2.8	268	0.0%
Micromonas sp. RCC299	None	5	100.0%	230,106	100.0%	62,643	0.5	0.009	534.5	88.8	1,243,053	0.3%
Arthroderma otae	None	1	100.0%	598	100.0%	598	0.51	0.0	609.0	0.0	4,060	0.0%
Podospora anserina	None	1	100.0%	15,911	100.0%	15,911	0.51	0.0	586.6	0.0	97,221	0.0%
Naegleria gruberi	None	3	100.0%	177,210	100.0%	134,865	0.42	0.11	2287.4	2354.3	1,308,352	0.3%
Ficedula albicollis	None	1	100.0%	75,301	100.0%	75,301	0.5	0.0	606.6	0.0	468,975	0.1%
Aspergillus nidulans	None	1	100.0%	131,031	100.0%	131,031	0.49	0.0	588.5	0.0	793,816	0.2%
Ostreococcus tauri	None	1	100.0%	17,758	100.0%	17,758	0.48	0.0	521.9	0.0	96,059	0.0%
Bathycoccus prasinos	None	1	100.0%	31,001	100.0%	31,001	0.52	0.0	559.8	0.0	179,439	0.0%
Middelhovenomyces petrohuensis	None	1	100.0%	124	100.0%	124	0.48	0.0	31191.0	0.0	44,418	0.0%
Emiliania huxleyi	None	3	100.0%	19,007	100.0%	14,949	0.49	0.008	3783.0	4535.0	125,645	0.0%
Mallomonas mangofera	None	1	100.0%	105	100.0%	105	0.54	0.0	7967.6	0.0	9,305	0.0%
Phytophthora hedraiandra	None	1	100.0%	11,558	100.0%	11,558	0.28	0.0	6620.6	0.0	778,836	0.2%
uncultured bacterium HF0070_02E07	None	1	100.0%	641	100.0%	641	0.35	0.0	14569.0	0.0	98,978	0.0%
Columba livia	None	1	100.0%	55,366	100.0%	55,366	0.49	0.0	566.8	0.0	324,257	0.1%
Helicoverpa armigera	None	1	100.0%	139	100.0%	139	0.54	0.0	556.6	0.0	1,063	0.0%
Wolffia australiana	None	1	100.0%	38,227	100.0%	38,227	0.49	0.0	569.0	0.0	227,718	0.1%
Chrysochloris asiatica	None	1	100.0%	9,512	100.0%	9,512	0.51	0.0	781.1	0.0	77,603	0.0%
Linum usitatissimum	None	1	100.0%	48,340	100.0%	48,340	0.5	0.0	364.4	0.0	185,600	0.0%
Shannoniana fluviatilis	None	1	100.0%	92,181	100.0%	92,181	0.49	0.0	601.8	0.0	567,618	0.1%
Moniliophthora perniciosa	None	1	100.0%	20,832	100.0%	20,832	0.5	0.0	635.8	0.0	137,088	0.0%
Sphingomonas sanxanigenens	None	1	100.0%	10,071	100.0%	10,071	0.54	0.0	590.4	0.0	61,614	0.0%
Cryptococcus gattii	None	1	100.0%	21,771	100.0%	21,771	0.49	0.0	474.5	0.0	106,252	0.0%
Oreochromis niloticus	None	2	100.0%	90,316	100.0%	50,991	0.5	0.0022	618.8	0.0	575,912	0.1%
uncultured bacterium	None	3	100.0%	1,376	100.0%	734	0.42	0.051	24916.9	3468.5	389,223	0.1%
Talaromyces erythromellis	None	1	100.0%	11,167	100.0%	11,167	0.52	0.0	654.7	0.0	76,904	0.0%
Zymoseptoria tritici	None	1	100.0%	127	100.0%	127	0.51	0.0	73.7	0.0	96	0.0%
uncultured eukaryote HF0200_37F04	None	3	100.0%	1,393	100.0%	1,176	0.49	0.0099	15126.2	11006.7	64,294	0.0%
Ochromonas danica	None	2	100.0%	320	100.0%	160	0.53	0.0062	529.7	33.0	2,278	0.0%
Anas platyrhynchos	None	2	100.0%	19,042	100.0%	16,670	0.49	0.0053	721.9	103.4	126,892	0.0%
Drosophila ananassae	None	3	100.0%	105,033	100.0%	74,269	0.51	0.0067	437.0	192.8	615,880	0.1%
Millerozyma farinosa	None	1	100.0%	63,209	100.0%	63,209	0.49	0.0	633.7	0.0	411,282	0.1%
Aspergillus fumigatus	None	1	100.0%	14,038	100.0%	14,038	0.5	0.0	539.6	0.0	78,965	0.0%
Achlya hypogyna	None	1	100.0%	1,674	100.0%	1,674	0.35	0.0	18021.8	0.0	316,545	0.1%
Hyaloperonospora parasitica	None	7	100.0%	56,490	100.0%	37,557	0.49	0.028	409.2	224.1	306,155	0.1%
Advenella kashmirensis	None	1	100.0%	39,307	100.0%	39,307	0.51	0.0	543.0	0.0	219,891	0.1%
Oligotropha carboxidovorans	None	1	100.0%	95,019	100.0%	95,019	0.5	0.0	558.6	0.0	551,517	0.1%
Phytophthora ramorum	None	1	100.0%	6,504	100.0%	6,504	0.26	0.0	5322.4	0.0	354,695	0.1%
Papio anubis	None	1	100.0%	35,669	100.0%	35,669	0.49	0.0	661.9	0.0	243,330	0.1%
Drosophila pseudoobscura	None	1	100.0%	153,848	100.0%	153,848	0.49	0.0	603.0	0.0	952,488	0.2%
Marsupenaeus japonicus	None	1	100.0%	24,852	100.0%	24,852	0.48	0.0	541.2	0.0	137,722	0.0%
Guepiniopsis buccina	None	1	100.0%	24,963	100.0%	24,963	0.49	0.0	642.3	0.0	165,077	0.0%
Setaria italica	None	1	100.0%	188,429	100.0%	188,429	0.49	0.0	583.5	0.0	1,124,480	0.3%
Musca domestica	None	1	100.0%	63,593	100.0%	63,593	0.51	0.0	645.4	0.0	424,216	0.1%
Brachypodium distachyon	None	3	100.0%	239,147	100.0%	154,916	0.5	0.0028	601.4	38.0	1,411,716	0.3%
Monosiga brevicollis	None	3	100.0%	68,046	100.0%	42,876	0.51	0.0034	668.7	103.4	429,302	0.1%
[Eubacterium] eligens	None	1	100.0%	4,804	100.0%	4,804	0.47	0.0	1064.2	0.0	60,915	0.0%
Capsella rubella	None	1	100.0%	6,241	100.0%	6,241	0.5	0.0	714.9	0.0	46,201	0.0%
uncultured haloarchaeon	None	1	100.0%	47,461	100.0%	47,461	0.49	0.0	710.3	0.0	345,725	0.1%
Drosophila mojavensis	None	1	100.0%	88,303	100.0%	88,303	0.5	0.0	587.6	0.0	533,409	0.1%
Laccaria bicolor	None	1	100.0%	7,907	100.0%	7,907	0.5	0.0	575.0	0.0	46,793	0.0%
uncultured stramenopile	None	5	100.0%	703	100.0%	124	0.43	0.042	15074.4	15225.8	159,825	0.0%
