##
## assembly : /home/cs02gl/blobtools/hypho_ge_1k/hypho_platanus_gapcloser_sorted_ge_1k.fasta
## bam0 : /home/cs02gl/blobtools/hypho/hiseq_ge_1k.bam
## tax0 : /home/cs02gl/blobtools/hypho_ge_1k/hypho_ge_1k_vs_nt_trans_mito_1e-10.megablast
## nodesDB : ../data/nodesDB.txt
## taxrule : bestsum
##
# name	length	GC	N	bam0	species.t	species.s	species.c	species.hits
scaffold5383_cov648	120027	0.4969	194	628.325260988	Hyphochytrium catenoides	33889.3	30	tax0=Hyphochytrium catenoides:33889.3|Homo sapiens:3040.0|synthetic construct:910.0|Ochotona princeps:755.0|Mustela putorius:341.0|Condylura cristata:335.0|Pongo abelii:316.0|Pan troglodytes:316.0|Pan paniscus:311.0|Stygifloris sp. EP141:303.0|Mus musculus:300.0|Rhoenanthus sp. EP143:300.0|Felis catus:297.0|Anthopotamus sp. EP022:292.0|Siphloplecton interlineatum:276.0|Murphyella sp. EP082:274.0|Albugo laibachii:268.0|Sporisorium reilianum:252.0|Cyclorana australis:189.0|Babesia equi:189.0|Cordulegaster dorsalis:185.0|Puccinia graminis:148.0|Litoria inermis:145.0|Litoria freycineti:145.0|Nematostella vectensis:143.0|Phrynopus bracki:134.0|Cryptococcus neoformans:117.0|Batillaria zonalis:117.0|Batillaria cumingii:111.0|Trithemis aurora:111.0|Drosophila pseudoobscura:87.9;
scaffold3564_cov584	119064	0.4955	165	587.081893035	Hyphochytrium catenoides	36491.6	6	tax0=Hyphochytrium catenoides:36491.6|Phytophthora infestans:248.0|Thielavia terrestris:158.0|Agaricus bisporus:134.0|Oryza brachyantha:122.0|Oryza rufipogon:121.0|Oryza sativa:115.0;
scaffold1633_cov600	118596	0.4929	49	622.394527065	Hyphochytrium catenoides	25326.0	0	tax0=Hyphochytrium catenoides:25326.0;
scaffold6570_cov595	118401	0.4916	206	590.836896654	Hyphochytrium catenoides	21546.3	6	tax0=Hyphochytrium catenoides:21546.3|Micromonas sp. RCC299:113.0|Mesocricetus auratus:102.0|Dendroctonus ponderosae:102.0|Pelodiscus sinensis:102.0|Glycine max:100.0|Batrachochytrium dendrobatidis:87.9;
scaffold1414_cov550	118369	0.4937	178	600.292983391	Hyphochytrium catenoides	19953.0	0	tax0=Hyphochytrium catenoides:19953.0;
scaffold2743_cov579	118115	0.4982	319	572.844689124	Hyphochytrium catenoides	8663.0	1	tax0=Hyphochytrium catenoides:8663.0|Oryza sativa:359.2;
scaffold986_cov600	117968	0.4973	179	610.333027702	Hyphochytrium catenoides	15307.6	0	tax0=Hyphochytrium catenoides:15307.6;
scaffold207_cov565	116152	0.4989	390	572.719329314	Hyphochytrium catenoides	22978.0	5	tax0=Hyphochytrium catenoides:22978.0|Arabidopsis thaliana:282.0|Oryza sativa:274.0|Guillardia theta:156.0|Medicago truncatula:130.0|Anas platyrhynchos:113.0;
scaffold41624_cov645	114119	0.4981	78	642.689795775	Hyphochytrium catenoides	56274.0	4	tax0=Hyphochytrium catenoides:56274.0|Ustilago maydis:139.0|Coprinopsis cinerea:137.0|Agaricus bisporus:137.0|Elephantulus edwardii:134.0;
scaffold1156_cov584	113491	0.4989	595	595.095344388	Hyphochytrium catenoides	34265.6	2	tax0=Hyphochytrium catenoides:34265.6|Rhodothermus marinus:91.6|Anaerolinea thermophila:86.1;
scaffold1846_cov581	113337	0.5082	220	645.856661687	Hyphochytrium catenoides	9191.5	0	tax0=Hyphochytrium catenoides:9191.5;
scaffold7740_cov368	113140	0.494	162	484.316486396	Hyphochytrium catenoides	21511.5	0	tax0=Hyphochytrium catenoides:21511.5;
scaffold1161_cov576	112950	0.4982	125	587.575528473	Hyphochytrium catenoides	29764.3	0	tax0=Hyphochytrium catenoides:29764.3;
scaffold1493_cov583	110604	0.4951	287	603.382280156	Hyphochytrium catenoides	26987.1	2	tax0=Hyphochytrium catenoides:26987.1|Xiphophorus maculatus:182.0|Jaculus jaculus:150.0;
scaffold1285_cov555	109691	0.5004	226	560.655542868	Hyphochytrium catenoides	16615.3	0	tax0=Hyphochytrium catenoides:16615.3;
scaffold4300_cov662	108988	0.4932	181	656.03942761	Hyphochytrium catenoides	7563.0	0	tax0=Hyphochytrium catenoides:7563.0;
scaffold2017_cov556	108157	0.5094	136	601.020486757	Hyphochytrium catenoides	32668.0	1	tax0=Hyphochytrium catenoides:32668.0|Phytophthora infestans:278.5;
scaffold1647_cov640	105156	0.4855	926	728.07340497	Hyphochytrium catenoides	18474.1	2	tax0=Hyphochytrium catenoides:18474.1|Brachypodium distachyon:432.0|Oryza sativa:209.0;
scaffold2214_cov608	105009	0.4873	438	589.199548632	Hyphochytrium catenoides	15765.0	0	tax0=Hyphochytrium catenoides:15765.0;
scaffold3314_cov581	104767	0.4877	76	617.623530198	Hyphochytrium catenoides	8630.1	0	tax0=Hyphochytrium catenoides:8630.1;
scaffold2971_cov579	104358	0.4891	305	592.793807002	Hyphochytrium catenoides	7228.5	0	tax0=Hyphochytrium catenoides:7228.5;
scaffold4321_cov643	103867	0.5017	251	659.247210855	Hyphochytrium catenoides	14454.1	1	tax0=Hyphochytrium catenoides:14454.1|Physcomitrella patens:117.0;
scaffold1314_cov598	103304	0.4937	171	583.23745067	Hyphochytrium catenoides	23709.1	2	tax0=Hyphochytrium catenoides:23709.1|Physcomitrella patens:128.0|Guillardia theta:99.0;
scaffold70_cov553	102907	0.5048	597	595.582074089	Hyphochytrium catenoides	16253.0	0	tax0=Hyphochytrium catenoides:16253.0;
scaffold601_cov586	101966	0.4966	195	593.906014483	Hyphochytrium catenoides	33253.0	0	tax0=Hyphochytrium catenoides:33253.0;
scaffold16691_cov571	101316	0.4922	112	583.03034465	Hyphochytrium catenoides	11180.7	0	tax0=Hyphochytrium catenoides:11180.7;
scaffold1970_cov610	98187	0.4926	166	652.480213424	Hyphochytrium catenoides	10261.2	0	tax0=Hyphochytrium catenoides:10261.2;
scaffold518_cov609	97380	0.5001	241	609.539114053	Hyphochytrium catenoides	6926.0	0	tax0=Hyphochytrium catenoides:6926.0;
scaffold1756_cov593	97012	0.4909	41	613.552072269	Hyphochytrium catenoides	29865.5	6	tax0=Hyphochytrium catenoides:29865.5|Aphanomyces euteiches:308.0|Penicillium rubens:293.0|Zymoseptoria tritici:191.0|Arthroderma otae:189.0|Tribolium castaneum:108.0|Mus musculus:89.8;
scaffold4774_cov629	96159	0.4937	66	607.979446994	Hyphochytrium catenoides	16047.1	0	tax0=Hyphochytrium catenoides:16047.1;
scaffold41869_cov652	96040	0.4922	217	642.010101959	Hyphochytrium catenoides	8262.0	0	tax0=Hyphochytrium catenoides:8262.0;
scaffold331_cov624	95207	0.4951	173	606.890407644	Hyphochytrium catenoides	21267.5	0	tax0=Hyphochytrium catenoides:21267.5;
scaffold1213_cov506	95019	0.501	210	579.106477233	Hyphochytrium catenoides	9416.0	9	tax0=Hyphochytrium catenoides:9416.0|Oligotropha carboxidovorans:312.0|Ochromonas danica:135.0|Drosophila virilis:113.0|Burkholderia sacchari:108.0|Spiribacter sp. UAH-SP71:102.0|Ochrobactrum anthropi:99.0|Nitrosococcus halophilus:93.5|Burkholderia soli:91.6|Schizophyllum commune:87.9;
scaffold4798_cov573	94841	0.4939	144	564.413624508	Hyphochytrium catenoides	21622.8	1	tax0=Hyphochytrium catenoides:21622.8|Thermus thermophilus:87.9;
scaffold2452_cov573	94631	0.495	194	594.350709997	Hyphochytrium catenoides	22875.0	2	tax0=Hyphochytrium catenoides:22875.0|Xiphophorus maculatus:122.0|Ricinus communis:86.1;
scaffold20014_cov620	92181	0.4923	101	604.164791486	Hyphochytrium catenoides	24613.6	2	tax0=Hyphochytrium catenoides:24613.6|Shannoniana fluviatilis:113.0|Priapulus caudatus:91.6;
scaffold41870_cov823	91421	0.5148	408	832.307868107	Hyphochytrium catenoides	7659.1	4	tax0=Hyphochytrium catenoides:7659.1|Nomascus leucogenys:102.0|Homo sapiens:100.0|synthetic construct:100.0|Felis catus:91.6;
scaffold143_cov597	91400	0.4932	310	597.908014052	Hyphochytrium catenoides	4804.0	0	tax0=Hyphochytrium catenoides:4804.0;
scaffold18_cov623	91295	0.5021	364	641.955581705	Hyphochytrium catenoides	19697.6	0	tax0=Hyphochytrium catenoides:19697.6;
scaffold42071_cov538	90894	0.4966	301	569.628348769	Hyphochytrium catenoides	13657.0	0	tax0=Hyphochytrium catenoides:13657.0;
scaffold1782_cov589	89155	0.5078	321	591.193236824	Hyphochytrium catenoides	15213.6	0	tax0=Hyphochytrium catenoides:15213.6;
scaffold100_cov569	88303	0.4979	84	590.721454562	Hyphochytrium catenoides	25328.0	1	tax0=Hyphochytrium catenoides:25328.0|Plagioselmis nannoplanctica:111.0;
scaffold233_cov561	87429	0.4943	161	838.472108906	Hyphochytrium catenoides	11045.1	0	tax0=Hyphochytrium catenoides:11045.1;
scaffold572_cov353	87203	0.4892	960	469.335366349	Hyphochytrium catenoides	9083.0	0	tax0=Hyphochytrium catenoides:9083.0;
scaffold5941_cov650	87058	0.507	152	697.160472234	Hyphochytrium catenoides	8289.0	0	tax0=Hyphochytrium catenoides:8289.0;
scaffold1567_cov569	86764	0.4925	149	590.674132656	Hyphochytrium catenoides	18327.0	0	tax0=Hyphochytrium catenoides:18327.0;
scaffold1579_cov347	85398	0.5026	587	442.2401929	Hyphochytrium catenoides	8325.0	0	tax0=Hyphochytrium catenoides:8325.0;
scaffold12_cov574	85336	0.4934	82	589.730628475	Hyphochytrium catenoides	20096.8	0	tax0=Hyphochytrium catenoides:20096.8;
scaffold5085_cov587	84102	0.4948	0	595.695833631	Hyphochytrium catenoides	17729.8	6	tax0=Hyphochytrium catenoides:17729.8|Drosophila melanogaster:269.3|Eutrema salsugineum:194.2|Mus musculus:175.8|Phytophthora infestans:119.0|Capsella rubella:95.3|Brachypodium distachyon:86.1;
scaffold351_cov579	82978	0.4955	291	666.518823999	Hyphochytrium catenoides	2350.0	0	tax0=Hyphochytrium catenoides:2350.0;
scaffold4865_cov572	82726	0.4978	0	576.226458429	Hyphochytrium catenoides	8257.1	2	tax0=Hyphochytrium catenoides:8257.1|Fusarium fujikuroi:141.0|Leptosphaeria maculans:126.0;
scaffold11216_cov576	81076	0.4939	306	589.866249845	Hyphochytrium catenoides	13168.9	0	tax0=Hyphochytrium catenoides:13168.9;
scaffold569_cov581	80672	0.5126	331	617.734867627	Hyphochytrium catenoides	20247.5	0	tax0=Hyphochytrium catenoides:20247.5;
scaffold1268_cov602	80401	0.4946	176	610.894957931	Hyphochytrium catenoides	8896.0	8	tax0=Hyphochytrium catenoides:8896.0|Drosophila melanogaster:1916.0|Zea mays:923.0|Drosophila virilis:470.0|Acanthamoeba castellanii:464.0|Oryza sativa:464.0|Aedes aegypti:307.0|Drosophila persimilis:212.0|Macaca mulatta:91.6;
scaffold1172_cov574	79556	0.5136	209	603.027285216	Hyphochytrium catenoides	8378.1	0	tax0=Hyphochytrium catenoides:8378.1;
scaffold2176_cov573	79449	0.4982	198	580.404512246	Hyphochytrium catenoides	11950.9	0	tax0=Hyphochytrium catenoides:11950.9;
scaffold5736_cov487	78500	0.5023	96	486.35598949	Hyphochytrium catenoides	14401.0	0	tax0=Hyphochytrium catenoides:14401.0;
scaffold587_cov321	78353	0.4713	694	426.30461376	Hyphochytrium catenoides	3393.0	0	tax0=Hyphochytrium catenoides:3393.0;
scaffold2300_cov594	78236	0.4883	69	588.550615989	Hyphochytrium catenoides	11560.3	0	tax0=Hyphochytrium catenoides:11560.3;
scaffold6785_cov590	77732	0.4941	22	580.494170634	Hyphochytrium catenoides	7456.1	3	tax0=Hyphochytrium catenoides:7456.1|Phytophthora cryptogea:5124.0|Phytophthora infestans:2540.0|Phytophthora andina:1267.0;
scaffold330_cov365	77697	0.491	1070	501.017878816	Hyphochytrium catenoides	7569.0	3	tax0=Hyphochytrium catenoides:7569.0|Lepidochitona cinerea:106.0|Setaria italica:93.5|Sorghum bicolor:89.8;
scaffold6701_cov613	75659	0.4987	233	603.818550632	Hyphochytrium catenoides	2646.0	0	tax0=Hyphochytrium catenoides:2646.0;
scaffold1060_cov572	75455	0.5123	210	606.824293973	Hyphochytrium catenoides	14688.0	9	tax0=Hyphochytrium catenoides:14688.0|Symplocos cochinchinensis:258.3|Physcomitrella patens:214.0|Drosophila melanogaster:209.0|Mikania micrantha:171.0|Daucus carota:154.0|Xanthophyllomyces dendrorhous:147.0|Phaffia rhodozyma:141.0|Herpetomonas puellarum:111.0|Leishmania braziliensis:110.0;
scaffold10583_cov613	75301	0.4984	62	607.729501987	Hyphochytrium catenoides	20464.1	10	tax0=Hyphochytrium catenoides:20464.1|Sterkiella histriomuscorum:258.3|Ficedula albicollis:230.0|Takifugu rubripes:200.0|Pseudopodoces humilis:117.0|Nitrobacter hamburgensis:99.0|Taeniopygia guttata:99.0|Anoplopoma fimbria:99.0|Gillichthys seta:95.3|Rhodopseudomonas palustris:89.8|Dinoroseobacter shibae:89.8;
scaffold2987_cov562	75183	0.4906	122	552.369153089	Hyphochytrium catenoides	12484.0	5	tax0=Hyphochytrium catenoides:12484.0|Pristionchus sp. 11 RS5228:141.0|Pristionchus pseudaerivorus:137.0|Pristionchus sp. 3 EJR-2013:137.0|Pristionchus lheritieri:135.0|Micromonas pusilla:99.0;
scaffold568_cov591	75144	0.4964	48	601.92992969	Hyphochytrium catenoides	16514.0	0	tax0=Hyphochytrium catenoides:16514.0;
scaffold1068_cov569	75139	0.5089	43	593.149555236	Hyphochytrium catenoides	14124.0	0	tax0=Hyphochytrium catenoides:14124.0;
scaffold1437_cov371	74995	0.495	379	458.65363997	Hyphochytrium catenoides	5903.0	0	tax0=Hyphochytrium catenoides:5903.0;
scaffold886_cov567	74984	0.4937	401	572.205556226	Hyphochytrium catenoides	10583.0	0	tax0=Hyphochytrium catenoides:10583.0;
scaffold1325_cov581	74529	0.5028	59	739.39348731	Hyphochytrium catenoides	2361.0	0	tax0=Hyphochytrium catenoides:2361.0;
scaffold6098_cov532	74269	0.5108	54	559.581257158	Hyphochytrium catenoides	18848.0	4	tax0=Hyphochytrium catenoides:18848.0|Drosophila ananassae:307.0|Blastobotrys aristata:261.0|Papilio xuthus:257.0|Ixodes scapularis:178.0;
scaffold168_cov561	73271	0.4982	123	596.436826707	Hyphochytrium catenoides	5711.0	0	tax0=Hyphochytrium catenoides:5711.0;
scaffold1634_cov610	73182	0.498	263	607.66432617	Hyphochytrium catenoides	7508.3	1	tax0=Hyphochytrium catenoides:7508.3|Tribolium castaneum:91.6;
scaffold41877_cov552	73023	0.4931	172	566.383906878	Hyphochytrium catenoides	9123.1	2	tax0=Hyphochytrium catenoides:9123.1|Micromonas sp. RCC299:187.0|Nematostella vectensis:99.0;
scaffold6023_cov665	72525	0.508	50	664.667664712	Hyphochytrium catenoides	12098.4	2	tax0=Hyphochytrium catenoides:12098.4|Caenorhabditis elegans:208.1|Caenorhabditis briggsae:119.0;
scaffold3860_cov612	72311	0.4965	159	646.537019071	Hyphochytrium catenoides	6810.0	0	tax0=Hyphochytrium catenoides:6810.0;
scaffold1560_cov555	72233	0.4923	310	610.483697844	Hyphochytrium catenoides	14337.3	0	tax0=Hyphochytrium catenoides:14337.3;
scaffold1906_cov541	72015	0.4921	52	558.653280158	Hyphochytrium catenoides	15975.0	9	tax0=Hyphochytrium catenoides:15975.0|Arabidopsis thaliana:562.7|Micromonas sp. RCC299:264.0|Lotus japonicus:190.6|Medicago truncatula:175.9|Salmo salar:128.0|Branchiostoma floridae:128.0|Chlamydomonas reinhardtii:122.0|Oryza sativa:89.8|Drosophila melanogaster:86.1;
scaffold2836_cov524	71927	0.4945	104	556.235996826	Hyphochytrium catenoides	11692.6	0	tax0=Hyphochytrium catenoides:11692.6;
