# hypho_ge_1k_vs_nt_1e-10.megablast.blobtools.BlobDB.json.span.species.p15.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
Heterocephalus glaber	None	1	100.0%	20,485	100.0%	20,485	0.5	0.0	604.6	0.0	131,518	0.0%
Caenorhabditis elegans	None	1	100.0%	72,525	100.0%	72,525	0.51	0.0	664.7	0.0	495,141	0.1%
Ustilago maydis	None	2	100.0%	154,957	100.0%	114,119	0.5	0.0059	628.4	14.3	1,013,996	0.2%
Frankia sp. CcI3	None	1	100.0%	6,520	100.0%	6,520	0.5	0.0	694.8	0.0	47,318	0.0%
Pelodiscus sinensis	None	2	100.0%	155,799	100.0%	127,813	0.49	0.0081	602.3	20.9	944,070	0.2%
Esox lucius	None	1	100.0%	49,361	100.0%	49,361	0.49	0.0	625.0	0.0	317,452	0.1%
Penicillium rubens	None	2	100.0%	31,905	100.0%	17,370	0.5	0.0029	619.6	4.8	205,265	0.0%
Strongylocentrotus purpuratus	None	1	100.0%	60,360	100.0%	60,360	0.5	0.0	547.0	0.0	340,875	0.1%
Glycine max	None	1	100.0%	190,574	100.0%	190,574	0.49	0.0	769.5	0.0	1,551,938	0.4%
Tetraodon nigroviridis	None	1	100.0%	38,210	100.0%	38,210	0.5	0.0	639.3	0.0	251,581	0.1%
Thermus thermophilus	None	1	100.0%	94,841	100.0%	94,841	0.49	0.0	564.4	0.0	549,581	0.1%
Cucumis sativus	None	1	100.0%	13,076	100.0%	13,076	0.48	0.0	583.3	0.0	78,357	0.0%
Acidovorax ebreus	None	1	100.0%	18,041	100.0%	18,041	0.5	0.0	575.4	0.0	107,910	0.0%
Edwardsiella tarda	None	1	100.0%	16,331	100.0%	16,331	0.5	0.0	498.0	0.0	91,459	0.0%
Epichloe glyceriae	None	1	100.0%	27,096	100.0%	27,096	0.49	0.0	581.6	0.0	163,185	0.0%
Arabidopsis thaliana	None	6	100.0%	205,463	100.0%	47,953	0.5	0.011	532.1	114.1	1,213,500	0.3%
Elephantulus edwardii	None	1	100.0%	10,274	100.0%	10,274	0.49	0.0	583.0	0.0	62,539	0.0%
Chlamydomonas reinhardtii	None	3	100.0%	200,068	100.0%	118,596	0.5	0.0046	591.9	22.6	1,251,676	0.3%
Anopheles gambiae	None	1	100.0%	10,206	100.0%	10,206	0.5	0.0	510.0	0.0	54,566	0.0%
Micromonas pusilla	None	1	100.0%	20,909	100.0%	20,909	0.51	0.0	614.6	0.0	133,542	0.0%
Parastagonospora nodorum	None	1	100.0%	3,308	100.0%	3,308	0.51	0.0	554.7	0.0	20,197	0.0%
Trypanosoma brucei	None	2	100.0%	83,590	100.0%	53,867	0.51	0.0098	705.5	82.0	585,505	0.1%
Talaromyces marneffei	None	1	100.0%	3,473	100.0%	3,473	0.54	0.0	765.2	0.0	27,389	0.0%
Danio rerio	None	1	100.0%	14,822	100.0%	14,822	0.5	0.0	702.4	0.0	105,688	0.0%
Amborella trichopoda	None	1	100.0%	24,942	100.0%	24,942	0.49	0.0	557.4	0.0	149,737	0.0%
Nasonia vitripennis	None	1	100.0%	143,693	100.0%	143,693	0.49	0.0	581.2	0.0	855,425	0.2%
Microtus ochrogaster	None	2	100.0%	76,025	100.0%	41,851	0.5	0.0007	599.2	16.0	473,176	0.1%
Hordeum vulgare	None	2	100.0%	108,727	100.0%	63,745	0.5	0.0013	620.6	10.4	692,933	0.2%
Guillardia theta	None	1	100.0%	138,775	100.0%	138,775	0.49	0.0	590.9	0.0	842,771	0.2%
Tribolium castaneum	None	1	100.0%	73,182	100.0%	73,182	0.5	0.0	607.7	0.0	458,026	0.1%
Symplocos cochinchinensis	None	1	100.0%	75,455	100.0%	75,455	0.51	0.0	606.8	0.0	473,832	0.1%
Ochotona princeps	None	1	100.0%	120,027	100.0%	120,027	0.5	0.0	628.3	0.0	772,518	0.2%
Sterkiella histriomuscorum	None	2	100.0%	75,169	100.0%	53,692	0.48	0.0043	507.0	52.7	388,880	0.1%
Nematostella vectensis	None	2	100.0%	62,632	100.0%	47,787	0.49	0.008	575.8	15.9	378,335	0.1%
Xiphophorus maculatus	None	1	100.0%	94,631	100.0%	94,631	0.49	0.0	594.4	0.0	580,149	0.1%
Magnaporthe oryzae	None	1	100.0%	33,000	100.0%	33,000	0.5	0.0	653.3	0.0	226,423	0.1%
Aphanomyces euteiches	None	3	100.0%	154,858	100.0%	97,012	0.5	0.0065	602.7	20.1	976,674	0.2%
Physcomitrella patens	None	3	100.0%	212,692	100.0%	103,304	0.49	0.013	618.9	31.2	1,359,641	0.3%
Phytophthora cryptogea	None	1	100.0%	77,732	100.0%	77,732	0.49	0.0	580.5	0.0	465,436	0.1%
uncultured dinoflagellate	None	1	100.0%	121,024	100.0%	121,024	0.5	0.0	625.4	0.0	783,881	0.2%
Candidatus Solibacter usitatus	None	1	100.0%	87,429	100.0%	87,429	0.49	0.0	838.5	0.0	772,021	0.2%
Blastocystis sp. subtype 3	None	1	100.0%	3,136	100.0%	3,136	0.35	0.0	18129.5	0.0	589,925	0.1%
Coccomyxa subellipsoidea	None	2	100.0%	24,806	100.0%	20,877	0.48	0.0093	506.3	72.6	144,431	0.0%
Chlorella variabilis	None	2	100.0%	17,662	100.0%	9,623	0.49	0.0065	533.6	25.2	98,378	0.0%
Metaseiulus occidentalis	None	1	100.0%	5,034	100.0%	5,034	0.5	0.0	660.4	0.0	34,628	0.0%
Aspergillus oryzae	None	3	100.0%	247,462	100.0%	147,397	0.5	0.0064	608.0	24.1	1,560,042	0.4%
Zonotrichia albicollis	None	1	100.0%	5,192	100.0%	5,192	0.48	0.0	546.4	0.0	30,257	0.0%
Schistosoma mansoni	None	2	100.0%	165,087	100.0%	146,090	0.48	0.0041	563.9	21.0	989,083	0.2%
Volvox carteri	None	1	100.0%	45,527	100.0%	45,527	0.5	0.0	593.4	0.0	278,110	0.1%
Hyphochytrium catenoides	None	1	100.0%	8,990	100.0%	8,990	0.52	0.0	1984.4	0.0	197,995	0.0%
Mus musculus	None	1	100.0%	34,468	100.0%	34,468	0.5	0.0	504.4	0.0	180,192	0.0%
Phyllostachys edulis	None	2	100.0%	37,951	100.0%	24,310	0.48	0.0005	552.3	27.0	226,624	0.1%
Sorex araneus	None	1	100.0%	1,599	100.0%	1,599	0.47	0.0	594.2	0.0	9,982	0.0%
Phytophthora plurivora	None	1	100.0%	57,970	100.0%	57,970	0.49	0.0	563.5	0.0	337,992	0.1%
Yarrowia lipolytica	None	3	100.0%	119,774	100.0%	43,934	0.49	0.015	475.9	81.4	599,242	0.1%
Selaginella moellendorffii	None	2	100.0%	138,104	100.0%	118,401	0.49	0.00045	578.5	12.3	835,753	0.2%
Aplysia californica	None	1	100.0%	6,406	100.0%	6,406	0.49	0.0	424.3	0.0	29,614	0.0%
Sus scrofa	None	1	100.0%	105,009	100.0%	105,009	0.49	0.0	589.2	0.0	633,057	0.2%
Lachancea thermotolerans	None	1	100.0%	52,423	100.0%	52,423	0.5	0.0	517.3	0.0	278,117	0.1%
Alligator sinensis	None	1	100.0%	20,824	100.0%	20,824	0.49	0.0	606.9	0.0	129,107	0.0%
Melopsittacus undulatus	None	1	100.0%	46,999	100.0%	46,999	0.5	0.0	630.8	0.0	306,683	0.1%
Aedes aegypti	None	2	100.0%	70,055	100.0%	38,771	0.51	0.0062	630.4	25.9	455,302	0.1%
Ictidomys tridecemlineatus	None	1	100.0%	53,086	100.0%	53,086	0.5	0.0	626.6	0.0	342,438	0.1%
Gasterosteus aculeatus	None	1	100.0%	67,426	100.0%	67,426	0.5	0.0	626.8	0.0	437,513	0.1%
Cenchrus americanus	None	1	100.0%	21,518	100.0%	21,518	0.5	0.0	559.2	0.0	125,482	0.0%
Acanthamoeba castellanii	None	3	100.0%	75,621	100.0%	41,892	0.5	0.01	528.9	106.4	460,426	0.1%
Platynereis dumerilii	None	1	100.0%	207,875	100.0%	207,875	0.49	0.0	600.9	0.0	1,279,730	0.3%
Bos taurus	None	1	100.0%	11,426	100.0%	11,426	0.49	0.0	596.0	0.0	70,402	0.0%
Gallus gallus	None	1	100.0%	22,730	100.0%	22,730	0.52	0.0	772.5	0.0	180,134	0.0%
Rattus norvegicus	None	1	100.0%	11,702	100.0%	11,702	0.5	0.0	640.2	0.0	77,300	0.0%
Streptomyces albus	None	1	100.0%	11,315	100.0%	11,315	0.49	0.0	634.3	0.0	75,057	0.0%
Zygosaccharomyces rouxii	None	1	100.0%	6,771	100.0%	6,771	0.5	0.0	463.0	0.0	32,621	0.0%
Capra hircus	None	2	100.0%	67,147	100.0%	47,458	0.5	0.008	640.6	46.3	433,568	0.1%
Ricinus communis	None	1	100.0%	132,204	100.0%	132,204	0.5	0.0	643.8	0.0	873,724	0.2%
Zea mays	None	4	100.0%	243,216	100.0%	126,973	0.49	0.0036	592.7	113.7	1,713,028	0.4%
Pristionchus sp. 11 RS5228	None	1	100.0%	75,183	100.0%	75,183	0.49	0.0	552.4	0.0	425,822	0.1%
Tupaia chinensis	None	2	100.0%	223,418	100.0%	188,764	0.49	0.0015	596.7	6.1	1,357,136	0.3%
Lepidochitona cinerea	None	1	100.0%	77,697	100.0%	77,697	0.49	0.0	501.0	0.0	422,439	0.1%
Populus trichocarpa	None	2	100.0%	69,961	100.0%	40,541	0.5	0.013	591.6	19.7	423,787	0.1%
Drosophila sechellia	None	2	100.0%	79,262	100.0%	45,434	0.5	0.00075	577.6	1.8	473,574	0.1%
Owenweeksia hongkongensis	None	1	100.0%	167,435	100.0%	167,435	0.49	0.0	715.4	0.0	1,226,292	0.3%
Tetrahymena thermophila	None	4	100.0%	182,462	100.0%	162,870	0.49	0.011	535.9	133.6	1,125,532	0.3%
Micromonas sp. RCC299	None	5	100.0%	230,106	100.0%	62,643	0.5	0.009	539.8	88.3	1,260,831	0.3%
Podospora anserina	None	1	100.0%	15,911	100.0%	15,911	0.51	0.0	600.8	0.0	100,082	0.0%
Naegleria gruberi	None	3	100.0%	177,210	100.0%	134,865	0.42	0.11	2289.7	2352.8	1,317,352	0.3%
Ficedula albicollis	None	1	100.0%	75,301	100.0%	75,301	0.5	0.0	607.7	0.0	470,329	0.1%
Aspergillus nidulans	None	1	100.0%	131,031	100.0%	131,031	0.49	0.0	593.5	0.0	803,812	0.2%
Ostreococcus tauri	None	1	100.0%	17,758	100.0%	17,758	0.48	0.0	529.6	0.0	98,197	0.0%
Bathycoccus prasinos	None	1	100.0%	31,001	100.0%	31,001	0.52	0.0	567.3	0.0	182,329	0.0%
Emiliania huxleyi	None	2	100.0%	18,901	100.0%	14,949	0.5	0.0046	599.5	19.6	121,519	0.0%
Phytophthora hedraiandra	None	1	100.0%	11,558	100.0%	11,558	0.28	0.0	6620.5	0.0	778,808	0.2%
Columba livia	None	1	100.0%	55,366	100.0%	55,366	0.49	0.0	568.7	0.0	325,629	0.1%
Wolffia australiana	None	1	100.0%	38,227	100.0%	38,227	0.49	0.0	573.1	0.0	230,313	0.1%
Chrysochloris asiatica	None	1	100.0%	9,512	100.0%	9,512	0.51	0.0	832.0	0.0	83,062	0.0%
Linum usitatissimum	None	1	100.0%	48,340	100.0%	48,340	0.5	0.0	426.9	0.0	218,962	0.1%
Shannoniana fluviatilis	None	1	100.0%	92,181	100.0%	92,181	0.49	0.0	604.2	0.0	570,498	0.1%
Moniliophthora perniciosa	None	1	100.0%	20,832	100.0%	20,832	0.5	0.0	638.2	0.0	137,802	0.0%
Sphingomonas sanxanigenens	None	1	100.0%	10,071	100.0%	10,071	0.54	0.0	600.6	0.0	62,858	0.0%
Cryptococcus gattii	None	1	100.0%	21,771	100.0%	21,771	0.49	0.0	498.5	0.0	113,200	0.0%
Oreochromis niloticus	None	2	100.0%	90,316	100.0%	50,991	0.5	0.0022	658.5	38.7	618,794	0.1%
Talaromyces erythromellis	None	1	100.0%	11,167	100.0%	11,167	0.52	0.0	657.5	0.0	77,353	0.0%
uncultured eukaryote HF0200_37F04	None	1	100.0%	1,176	100.0%	1,176	0.49	0.0	12123.9	0.0	227,019	0.1%
Anas platyrhynchos	None	2	100.0%	19,042	100.0%	16,670	0.49	0.0053	723.8	101.4	127,965	0.0%
Drosophila ananassae	None	2	100.0%	104,914	100.0%	74,269	0.51	0.003	608.1	48.5	640,848	0.2%
Millerozyma farinosa	None	1	100.0%	63,209	100.0%	63,209	0.49	0.0	639.1	0.0	415,365	0.1%
Aspergillus fumigatus	None	1	100.0%	14,038	100.0%	14,038	0.5	0.0	564.3	0.0	83,037	0.0%
Achlya hypogyna	None	1	100.0%	1,674	100.0%	1,674	0.35	0.0	18024.2	0.0	316,655	0.1%
Hyaloperonospora parasitica	None	5	100.0%	56,255	100.0%	37,557	0.48	0.022	698.0	546.1	338,626	0.1%
Advenella kashmirensis	None	1	100.0%	39,307	100.0%	39,307	0.51	0.0	549.2	0.0	222,672	0.1%
Oligotropha carboxidovorans	None	1	100.0%	95,019	100.0%	95,019	0.5	0.0	579.1	0.0	573,906	0.1%
Phytophthora ramorum	None	1	100.0%	6,504	100.0%	6,504	0.26	0.0	5441.5	0.0	367,908	0.1%
Papio anubis	None	1	100.0%	35,669	100.0%	35,669	0.49	0.0	665.5	0.0	244,886	0.1%
Drosophila pseudoobscura	None	1	100.0%	153,848	100.0%	153,848	0.49	0.0	608.1	0.0	962,824	0.2%
Marsupenaeus japonicus	None	1	100.0%	24,852	100.0%	24,852	0.48	0.0	543.5	0.0	138,526	0.0%
Guepiniopsis buccina	None	1	100.0%	24,963	100.0%	24,963	0.49	0.0	731.1	0.0	188,311	0.0%
Setaria italica	None	1	100.0%	188,429	100.0%	188,429	0.49	0.0	587.3	0.0	1,132,676	0.3%
Musca domestica	None	1	100.0%	63,593	100.0%	63,593	0.51	0.0	650.4	0.0	428,396	0.1%
Brachypodium distachyon	None	3	100.0%	239,147	100.0%	154,916	0.5	0.0028	607.1	40.4	1,424,616	0.3%
Monosiga brevicollis	None	3	100.0%	68,046	100.0%	42,876	0.51	0.0034	672.4	101.0	434,096	0.1%
[Eubacterium] eligens	None	1	100.0%	4,804	100.0%	4,804	0.47	0.0	1804.5	0.0	118,054	0.0%
Capsella rubella	None	1	100.0%	6,241	100.0%	6,241	0.5	0.0	714.9	0.0	46,203	0.0%
uncultured haloarchaeon	None	1	100.0%	47,461	100.0%	47,461	0.49	0.0	715.5	0.0	348,655	0.1%
Drosophila mojavensis	None	1	100.0%	88,303	100.0%	88,303	0.5	0.0	590.7	0.0	536,443	0.1%
Laccaria bicolor	None	1	100.0%	7,907	100.0%	7,907	0.5	0.0	578.7	0.0	47,199	0.0%
